"Data Source","World Development Indicators",

"Last Updated Date","2026-02-24",

"Country Name","Country Code","Indicator Name","Indicator Code","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021","2022","2023","2024","2025",
"Armenia","ARM","Out-of-pocket expenditure (% of current health expenditure)","SH.XPD.OOPC.CH.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","62.010952","50.87960052","75.23449707","76.42555237","71.58870697","62.93592072","61.17357254","58.22918701","71.43701172","73.63291931","77.62413025","78.41966248","78.58730316","82.8755722","82.48136902","81.62987518","80.6469574","84.34803009","84.27638245","84.79430389","77.84781647","78.65647888","79.0908432","80.47196198","","",
"American Samoa","ASM","Out-of-pocket expenditure (% of current health expenditure)","SH.XPD.OOPC.CH.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Antigua and Barbuda","ATG","Out-of-pocket expenditure (% of current health expenditure)","SH.XPD.OOPC.CH.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","22.22428131","22.74691391","22.74011803","23.21788979","24.31144524","27.07497978","30.31648445","32.52657318","31.90914726","25.27703667","24.68379784","25.77301407","26.8955822","26.76339149","25.34367752","23.53068924","27.5195961","26.5686245","23.66021156","24.26510048","21.0750885","20.61886787","18.00394058","20.80756378","","",
"Australia","AUS","Out-of-pocket expenditure (% of current health expenditure)","SH.XPD.OOPC.CH.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","20.99713898","20.43909836","19.92001152","19.14758873","19.21869659","19.64301491","19.74941826","19.00255966","19.04162598","19.05284309","19.74928665","19.17248344","19.93433952","19.52692413","17.84736443","16.91646767","16.63350677","16.31333733","16.48277283","15.01641464","15.23493195","14.4608345","15.13268661","15.84897614","","",
"Austria","AUT","Out-of-pocket expenditure (% of current health expenditure)","SH.XPD.OOPC.CH.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","18.8343544","19.45734215","19.45839691","19.55549812","19.65370941","19.50914574","19.16868973","19.22972488","18.80803871","18.60381508","19.23719788","19.31062889","19.14427948","19.60377693","19.61263084","19.84508324","20.04564476","20.11006927","19.29269981","18.7592411","17.17389679","16.02560425","16.29116058","16.47774124","16.46478271","",
"Azerbaijan","AZE","Out-of-pocket expenditure (% of current health expenditure)","SH.XPD.OOPC.CH.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","68.60762787","69.62220764","72.33946991","69.0607605","65.92002106","59.33625793","56.28426743","52.6079216","56.54062271","57.89490891","60.27914047","62.14058304","62.97990417","66.2504425","67.54847717","69.12871552","70.02903748","71.84921265","73.38605499","71.34140778","57.828125","66.0317688","66.25884247","64.63206482","","",
"Burundi","BDI","Out-of-pocket expenditure (% of current health expenditure)","SH.XPD.OOPC.CH.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","61.1387825","45.43356323","49.84329987","50.25006485","38.59356308","39.18720245","39.72788239","41.13088989","42.89714813","35.45698547","28.18636131","25.47524261","22.40234756","20.86187553","31.00106621","31.20854759","28.36751747","28.9984951","27.11566162","22.21719551","20.45733452","24.2893486","25.17597198","24.48983002","","",
"Belgium","BEL","Out-of-pocket expenditure (% of current health expenditure)","SH.XPD.OOPC.CH.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","20.20431137","19.56598473","20.84733772","20.95804977","20.16856384","20.25011444","20.24836922","20.60689545","19.94528961","21.65153122","21.3692112","20.56370926","20.42929077","20.55278015","20.00829506","19.43956184","18.9411087","19.12564468","19.3741951","20.59959984","19.30308533","20.34373283","21.40806961","21.50983047","","",
"Benin","BEN","Out-of-pocket expenditure (% of current health expenditure)","SH.XPD.OOPC.CH.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","54.91024399","49.05539703","51.76609039","51.67531586","48.58201981","46.5252533","45.66500092","48.27828979","44.00003433","42.44283295","43.39034271","44.48669815","41.52767944","42.5843277","46.49401474","51.40564728","49.55622482","47.97880173","49.22253418","54.70105362","53.51108932","55.36502075","49.11421967","42.40531921","","",
"Burkina Faso","BFA","Out-of-pocket expenditure (% of current health expenditure)","SH.XPD.OOPC.CH.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","57.56380844","58.22612762","56.12514114","52.65977097","43.91834641","43.41235352","39.62530136","34.20258331","35.39670944","32.9610939","30.82998085","32.88170242","32.38356781","33.53733063","34.07847595","36.02980042","31.39372635","31.36149979","36.23123169","34.67798996","38.55709076","41.19137573","42.29250717","43.82195663","","",
"Bangladesh","BGD","Out-of-pocket expenditure (% of current health expenditure)","SH.XPD.OOPC.CH.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","61.82206726","65.80530548","62.93533707","63.01078033","63.09557724","65.38332367","65.63786316","66.41323853","67.83094788","67.94347382","67.95515442","68.17604828","68.27939606","69.62185669","70.75862885","72.67826843","71.49494171","70.08963776","70.67902374","76.47038269","76.98878479","76.14752197","78.25325775","79.30711365","","",
"Bulgaria","BGR","Out-of-pocket expenditure (% of current health expenditure)","SH.XPD.OOPC.CH.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","40.3757019","43.70613098","39.79439545","38.06082916","39.20325851","38.86741257","42.64740753","42.59270096","42.62918854","44.3673439","43.14134216","44.46372604","47.7468071","41.86244583","40.24094009","42.50993729","43.25471497","42.19384384","39.32843781","37.79553986","35.52528763","33.72874832","35.07592392","35.50430679","","",
"Bahrain","BHR","Out-of-pocket expenditure (% of current health expenditure)","SH.XPD.OOPC.CH.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","27.53905296","26.7744503","26.95469666","32.31951141","30.68171883","27.47366142","26.69632721","30.2359314","27.9108448","26.58000565","26.74535942","26.31511879","26.80383301","26.91797447","26.14287376","25.89375496","27.98857307","31.99498177","30.00357628","29.97935486","26.24458504","25.76650047","27.89371109","28.65578461","","",
"Bahamas, The","BHS","Out-of-pocket expenditure (% of current health expenditure)","SH.XPD.OOPC.CH.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","27.22701263","28.23169136","28.80686188","28.64151382","29.60046577","30.36487389","29.36036491","28.73091125","27.80749512","27.0141716","27.59894562","27.96435928","28.74622917","27.93116188","28.32375336","30.39061737","28.30343437","24.9106617","28.65538406","27.58430672","22.72632217","26.78787422","24.07663536","27.48377991","","",
"Bosnia and Herzegovina","BIH","Out-of-pocket expenditure (% of current health expenditure)","SH.XPD.OOPC.CH.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","41.98865128","41.3520546","38.45634842","32.54938889","42.70067978","45.20005798","44.99708557","44.27066803","43.91299438","30.61831665","30.07586288","29.46848488","29.21257019","29.06751633","28.92234421","28.80271149","28.61372757","29.11909294","29.31168938","29.35281181","28.86445999","30.71450996","30.88310814","30.96058273","","",
"Belarus","BLR","Out-of-pocket expenditure (% of current health expenditure)","SH.XPD.OOPC.CH.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","16.013731","20.72087097","23.02361107","20.16473579","19.22298622","21.783041","24.38873672","25.79533768","29.83945274","30.91816902","29.16505241","33.58686447","30.77361488","33.79212189","34.89439774","36.20293045","26.71418381","27.05755615","25.44559479","25.69003105","24.76618576","21.92699814","27.618536","28.48183441","","",
"Belize","BLZ","Out-of-pocket expenditure (% of current health expenditure)","SH.XPD.OOPC.CH.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","38.14376068","34.01305771","33.93686295","34.33866882","34.26523209","33.10965729","30.15555","26.12802887","24.23386192","24.34063148","24.62802124","24.03583336","25.1850338","25.36402893","22.78176498","23.2816906","22.57848167","23.14125252","22.96988678","22.67947578","20.8118515","22.02814865","26.81614494","26.78139114","","",
"Bermuda","BMU","Out-of-pocket expenditure (% of current health expenditure)","SH.XPD.OOPC.CH.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Bolivia","BOL","Out-of-pocket expenditure (% of current health expenditure)","SH.XPD.OOPC.CH.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","33.50730133","33.05337524","33.92093658","32.02861404","32.59439087","32.00019073","32.2653923","30.76193619","30.36822891","30.09937668","33.27740097","32.50546646","34.3583374","34.00916672","30.90435982","27.32661629","28.02112007","25.07784653","22.10827065","23.99159813","20.89839554","22.73787498","25.75580215","27.31554413","","",
"Brazil","BRA","Out-of-pocket expenditure (% of current health expenditure)","SH.XPD.OOPC.CH.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","36.59222031","37.80702972","36.40619659","35.47386169","35.3658371","35.87643814","34.37126541","33.09412003","30.88409233","31.21031952","29.38520432","29.29958534","29.68202972","28.17706871","28.18024635","24.70735931","24.42057228","24.46793365","24.82529449","24.87984657","26.09086418","25.26789093","27.25102234","26.23070717","","",
"Barbados","BRB","Out-of-pocket expenditure (% of current health expenditure)","SH.XPD.OOPC.CH.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","39.37475586","38.05859375","36.52173615","35.8896904","33.59903336","35.04058456","35.37914276","36.83722687","35.45105743","36.33097839","38.09718323","42.20311737","38.606987","40.41992569","43.63391113","44.41487503","45.05650711","45.55510712","45.89333344","46.69363785","42.93118668","38.77418137","46.7436409","49.49338913","","",
"Brunei Darussalam","BRN","Out-of-pocket expenditure (% of current health expenditure)","SH.XPD.OOPC.CH.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","15.83131313","16.80674553","16.41055107","17.0513382","16.90948105","16.33396339","14.68852711","12.78499889","10.10823727","9.49940205","8.26134872","8.47186852","8.85192871","9.4074192","7.33459949","4.97357655","4.97981501","5.41142321","4.8520875","5.50012302","5.81023836","6.92726374","7.86283779","7.41179371","","",
"Bhutan","BTN","Out-of-pocket expenditure (% of current health expenditure)","SH.XPD.OOPC.CH.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","11.54134464","8.03274536","11.15311337","19.00845528","16.25363541","16.79038239","14.79103374","14.33664703","15.47424698","16.58108711","16.48263359","16.34392738","20.50640488","20.31390381","21.17123032","19.79465675","20.12969589","13.3064661","13.16380501","17.79043007","15.42465878","28.52482796","28.0121479","25.46281624","","",
"Botswana","BWA","Out-of-pocket expenditure (% of current health expenditure)","SH.XPD.OOPC.CH.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","10.67191124","9.45568562","8.74494839","8.76611137","8.5832901","8.49857712","8.29256916","6.77262211","5.81573677","5.42353058","4.99356318","4.5739603","4.2400465","3.78434443","3.71709538","3.57781744","3.30749416","2.99324226","5.10579157","4.49591017","4.9515481","4.265481","4.39190388","4.25866175","","",
"Central African Republic","CAF","Out-of-pocket expenditure (% of current health expenditure)","SH.XPD.OOPC.CH.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","48.27813721","54.10288239","49.59783554","49.06583023","53.13077927","51.71973801","51.5475769","49.70782471","57.97245407","47.84398651","59.52026749","58.58395386","58.08099365","45.23834229","46.46343231","48.77671814","55.20955658","56.41589355","41.67272949","60.55824661","49.67552185","49.57488251","47.64565659","45.02304077","","",
"Canada","CAN","Out-of-pocket expenditure (% of current health expenditure)","SH.XPD.OOPC.CH.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","16.60520935","15.92599487","15.9083395","15.2514801","15.28786945","15.36829376","15.88811302","15.61163616","15.50515175","15.17220497","15.61454868","15.16354275","14.99191856","14.56241226","14.71277905","14.70200253","15.60679913","15.82835293","15.56946564","15.42836094","13.6503973","14.22434807","14.96067905","15.20306873","15.27733707","",
"Central Europe and the Baltics","CEB","Out-of-pocket expenditure (% of current health expenditure)","SH.XPD.OOPC.CH.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","23.8135111816787","23.7354076877091","22.3025495300466","21.905214988658","23.8585193263303","22.8177364242051","22.9156030910776","22.9237664166106","22.3411451759515","22.3358855122674","21.957604485442","22.6790430366581","23.1244531297772","22.3875756307703","21.8394613097918","22.1236093303044","22.0222940582855","21.9421645547055","20.7044008117719","20.4826802514832","19.2418592867838","19.6365275350156","19.6744147886387","18.991492934081","","",
"Switzerland","CHE","Out-of-pocket expenditure (% of current health expenditure)","SH.XPD.OOPC.CH.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","31.04061699","30.11981773","29.04967117","28.62252808","28.75733566","27.14404869","27.3494606","27.33333206","26.49785995","26.20129585","24.06636429","23.55637932","23.35357285","22.77101326","22.61392593","22.04629517","21.27206993","21.55899429","21.94914818","21.8964119","20.72429276","21.35904694","21.74333382","22.02737427","","",
"Channel Islands","CHI","Out-of-pocket expenditure (% of current health expenditure)","SH.XPD.OOPC.CH.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Chile","CHL","Out-of-pocket expenditure (% of current health expenditure)","SH.XPD.OOPC.CH.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","42.81496429","42.61517334","42.48400497","42.76384735","41.84412003","42.47086716","40.74998093","39.18727112","37.43042755","34.58893585","34.46762848","34.49925995","33.40764236","33.63830948","34.26873016","34.50925446","34.75082779","33.30509567","32.69705963","32.34170532","29.04245186","32.63452148","35.5993309","34.59329987","39.14786911","",
"China","CHN","Out-of-pocket expenditure (% of current health expenditure)","SH.XPD.OOPC.CH.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","60.12533951","64.19143677","62.85082245","60.71776581","58.76867676","57.68999481","55.99118423","51.29121017","47.3682518","43.45621872","40.8000145","40.26554108","39.23458862","38.15951538","36.56483078","35.0892868","35.90618515","36.05041122","35.75046921","35.23001862","34.791008","34.39476395","31.6276741","32.17354584","","",
"Cote d'Ivoire","CIV","Out-of-pocket expenditure (% of current health expenditure)","SH.XPD.OOPC.CH.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","75.2956543","77.22060394","75.83152771","76.0766449","77.01480103","76.73565674","75.94538879","68.75501251","65.54959869","57.42655182","56.47934341","59.20729446","52.79811478","56.15932083","51.14342117","42.58926392","40.01249313","39.21524048","39.2853241","37.26046371","31.99206734","28.36708641","32.54924393","31.99314499","","",
"Cameroon","CMR","Out-of-pocket expenditure (% of current health expenditure)","SH.XPD.OOPC.CH.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","78.47399902","75.10469818","70.18141174","71.51586914","73.89202118","74.33882904","74.35810852","75.56835175","74.24559021","76.76542664","76.0213623","69.64955139","66.84483337","69.71942139","68.98474121","73.83300781","73.38752747","78.46200562","72.26169586","72.18878174","71.87678528","70.64050293","67.75390625","67.65119171","","",
"Congo, Dem. Rep.","COD","Out-of-pocket expenditure (% of current health expenditure)","SH.XPD.OOPC.CH.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","54.02555847","72.38018799","71.28810883","68.03038788","72.11377716","69.36360931","68.51200867","63.855793","49.68735886","45.41014099","37.0503006","38.82409668","40.27502823","39.43297195","38.71640778","37.42670822","37.29187775","40.12471771","41.61063766","38.49700546","39.71793747","39.12869644","37.07655334","38.00354767","","",
"Congo, Rep.","COG","Out-of-pocket expenditure (% of current health expenditure)","SH.XPD.OOPC.CH.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","52.69972229","45.78503036","61.4227066","61.43461609","55.60840607","51.97861099","48.68207169","49.15676117","37.850811","50.37175751","42.15446472","41.09134674","29.73799133","30.65258598","31.18631554","32.46011734","44.25678253","45.59011841","50.25749588","42.17203903","25.19023323","23.57754707","26.92918968","27.97068977","","",
"Colombia","COL","Out-of-pocket expenditure (% of current health expenditure)","SH.XPD.OOPC.CH.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","13.69103241","13.39813709","11.48958969","8.60398769","13.75860023","16.407938","17.93350601","19.24854279","20.85275078","18.01454926","17.0035553","15.31575584","17.85850143","17.15289879","16.27700996","15.40105057","15.61221027","15.36301041","15.04849339","14.750144","14.51514149","13.69349289","14.37380219","14.63377953","14.73741817","",
"Comoros","COM","Out-of-pocket expenditure (% of current health expenditure)","SH.XPD.OOPC.CH.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","79.71823883","81.2722702","76.19342041","73.11751556","73.01578522","76.20133972","79.49471283","81.81255341","83.37431335","84.12468719","80.46083832","64.04379272","67.96592712","68.00801849","65.51406097","74.98792267","71.2664566","63.84443665","67.24486542","61.82796478","61.9016304","55.55260468","43.50362396","56.56671524","","",
"Cabo Verde","CPV","Out-of-pocket expenditure (% of current health expenditure)","SH.XPD.OOPC.CH.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","25.25918961","23.3310833","23.52381516","24.17235374","23.83398628","24.59075356","23.7995739","22.91623306","24.44979477","24.22216225","28.08350372","25.88960075","24.56819153","24.25014687","25.69905281","27.7348938","28.66605759","34.12091446","27.06538963","24.94114113","24.12438393","23.00951385","22.06938362","25.73987579","","",
"Costa Rica","CRI","Out-of-pocket expenditure (% of current health expenditure)","SH.XPD.OOPC.CH.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","31.57487297","31.63286591","30.69062233","30.76501274","32.05981445","32.77381897","31.0769558","30.91247177","29.51094818","26.40225029","25.38431358","25.78322983","24.5027504","23.22566605","24.41330528","22.59923172","22.20295334","21.25539017","22.4164257","22.32456398","20.28676224","20.51704597","22.43504333","24.12618256","","",
"Caribbean small states","CSS","Out-of-pocket expenditure (% of current health expenditure)","SH.XPD.OOPC.CH.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","40.586662002202","39.7744826416596","39.8312506823616","38.6961778167354","39.9506689742496","38.297817312476","39.0559051156782","39.7526331949725","38.7926616853311","38.4656470035986","38.5426166129462","38.8264958527022","38.5853108624919","38.0302387692338","37.9608563592352","36.9956290848645","37.6024073592938","35.6919999205785","37.8339161889519","37.8358898742648","35.5160236573445","36.9425414448647","37.4050829554319","37.4229957516792","","",
"Cuba","CUB","Out-of-pocket expenditure (% of current health expenditure)","SH.XPD.OOPC.CH.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","16.22938156","18.70623779","19.3773613","20.32512474","19.59809303","14.84367657","14.26366234","9.78314972","8.83751297","8.0996418","9.1819706","10.81637955","13.13097286","12.27119064","9.63887787","9.62183094","10.28543472","10.70137501","11.17386532","10.85016251","8.92000961","8.39361095","11.13346577","16.58238792","","",
"Curacao","CUW","Out-of-pocket expenditure (% of current health expenditure)","SH.XPD.OOPC.CH.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Cayman Islands","CYM","Out-of-pocket expenditure (% of current health expenditure)","SH.XPD.OOPC.CH.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Cyprus","CYP","Out-of-pocket expenditure (% of current health expenditure)","SH.XPD.OOPC.CH.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","55.90191269","55.2161293","52.7716217","47.65464783","49.88217926","49.8321991","48.32824707","48.79761124","51.40008163","49.92380524","43.10596848","41.3747139","42.37166595","42.59913254","45.11090088","43.62483215","44.6070137","44.75834656","44.3609581","33.72646713","21.36680603","16.23107147","18.04491615","17.9429245","","",
"Czechia","CZE","Out-of-pocket expenditure (% of current health expenditure)","SH.XPD.OOPC.CH.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","10.1975069","10.64326668","10.00170326","10.36722469","10.70501423","11.09285259","11.6460247","13.63102531","16.13297081","15.05053902","13.85482121","14.21162128","14.21601486","14.33172131","14.45865345","14.51374149","14.28510857","14.13632774","14.15549374","14.309021","11.0761776","12.48179531","14.28758907","14.59681702","14.06390572","",
"Germany","DEU","Out-of-pocket expenditure (% of current health expenditure)","SH.XPD.OOPC.CH.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","11.80379105","11.78136063","12.04771709","12.26404381","13.49405193","13.56490993","13.89503765","13.76033401","13.46302605","13.26327801","13.30298233","13.32311726","13.48985386","12.68544769","12.35032654","12.35095024","12.18544674","12.01707077","12.1757164","12.37548542","11.3380394","11.36333561","10.43201256","11.05290699","10.7067318","",
"Djibouti","DJI","Out-of-pocket expenditure (% of current health expenditure)","SH.XPD.OOPC.CH.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","44.38518524","48.03302002","40.90150833","34.37653351","38.80529785","35.31047058","31.15603065","30.18076515","27.90184784","26.62792587","26.46213531","24.22880554","22.94796562","24.05808258","22.65952682","19.0374279","23.17863083","26.03968811","26.90641785","28.16122055","31.93699646","27.3415451","29.05987549","28.84145355","","",
"Dominica","DMA","Out-of-pocket expenditure (% of current health expenditure)","SH.XPD.OOPC.CH.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","33.02465439","41.14457321","41.70457077","40.0802536","40.67153931","40.02454376","39.92842484","42.96026993","44.35028076","42.2405014","38.80086899","36.7841301","35.47105789","35.36190414","35.74480438","34.0546875","32.22554016","28.55779457","30.91319275","33.85964203","29.00674629","23.99077225","23.36527443","29.32637405","","",
