"Data Source","World Development Indicators",

"Last Updated Date","2026-01-28",

"Country Name","Country Code","Indicator Name","Indicator Code","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021","2022","2023","2024",
"Australia","AUS","Current health expenditure (% of GDP)","SH.XPD.CHEX.GD.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","7.58869076","7.67391729","7.87221003","7.87659502","8.08257675","7.9648633","7.97161102","8.0517149","8.24737453","8.54273987","8.4193306","8.53425312","8.67020702","8.7465601","9.82833862","10.13642025","10.08958244","10.10880566","10.08907509","10.25421429","10.70324135","10.51612186","9.89226055","10.39852047","",
"Austria","AUT","Current health expenditure (% of GDP)","SH.XPD.CHEX.GD.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","9.38934517","9.45243549","9.59139919","9.69844246","9.81532383","9.71779728","9.64073944","9.60482597","9.83415222","10.31152916","10.31620026","10.1370182","10.30198097","10.40574837","10.51159096","10.51688385","10.51713753","10.57132816","10.5157156","10.62530422","11.41292953","12.185215","11.22519779","11.15297318","11.8325634",
"Azerbaijan","AZE","Current health expenditure (% of GDP)","SH.XPD.CHEX.GD.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2.94891715","2.774194","2.73097301","2.72699213","2.65944242","2.22960997","2.07059145","1.99422264","2.04814458","2.76541352","2.64634848","2.59547186","3.15682149","3.22551084","3.58703041","4.34131384","4.42241955","4.07396507","3.83661342","4.18188763","5.84817696","4.68526697","3.41549611","4.27113533","",
"Burundi","BDI","Current health expenditure (% of GDP)","SH.XPD.CHEX.GD.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","4.22181606","5.68180418","5.34983587","5.27245188","7.09572744","7.56016588","8.71264839","9.1855402","7.74147511","9.23238468","11.28196716","10.06996346","8.63756466","8.62834644","7.21081543","6.29044485","7.06148243","6.95230389","7.29396152","9.05940628","10.70776176","8.94190311","8.6687746","9.09471226","",
"Belgium","BEL","Current health expenditure (% of GDP)","SH.XPD.CHEX.GD.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","7.99917603","8.14988899","8.3182106","9.18925285","9.35496902","9.25018311","9.1325655","9.1392889","9.60036659","10.54393387","10.41325188","10.41302204","10.5865345","10.63787556","10.62032604","10.88387299","10.89833736","10.94042683","10.9937973","10.85831451","11.46253014","11.28825092","10.73976326","10.80371571","",
"Benin","BEN","Current health expenditure (% of GDP)","SH.XPD.CHEX.GD.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2.9591713","3.30417323","3.09589195","3.11678505","3.23273873","3.22345805","3.28773856","2.93715644","2.65178108","2.89953876","3.01848245","2.99865556","3.07562971","2.86880755","2.69111967","2.72813416","3.62042856","3.67389345","3.4364984","3.00206876","3.0512166","2.91589761","2.98184395","3.33732462","",
"Burkina Faso","BFA","Current health expenditure (% of GDP)","SH.XPD.CHEX.GD.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","4.0211668","3.95983911","4.17985535","4.42266035","5.23083639","4.83784914","5.17043304","5.77535009","4.96721601","5.19683933","5.28967237","4.64868164","4.60267258","5.56331587","5.00027227","5.13192415","5.95284653","6.12075186","4.94427681","5.35001135","6.89469957","7.08691931","7.41435528","7.79943228","",
"Bangladesh","BGD","Current health expenditure (% of GDP)","SH.XPD.CHEX.GD.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1.80504513","1.77201855","1.93417108","1.96152198","1.99854314","2.05873919","2.10646582","2.17268491","2.11878848","2.18321705","2.28807664","2.36418128","2.3537879","2.29574466","2.27915168","2.27217698","2.38938212","2.36720181","2.31622243","2.12712646","2.18254924","2.26678729","2.21544909","2.17014575","",
"Bulgaria","BGR","Current health expenditure (% of GDP)","SH.XPD.CHEX.GD.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","5.82970953","6.85958815","7.0809865","7.19987392","6.89090872","6.89011478","6.52544546","6.15651751","6.28281593","6.59577608","7.09477949","7.10250568","7.53903675","7.14167452","7.68306208","7.39363575","7.45975018","7.49624491","7.34086275","7.11813641","8.44060898","8.58048916","7.63849449","7.91853094","",
"Bahrain","BHR","Current health expenditure (% of GDP)","SH.XPD.CHEX.GD.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","3.20020556","3.3434751","3.52897096","3.72810912","3.35499287","3.12594414","2.98138189","3.16071057","3.07321215","4.15054226","3.92259479","3.7181015","3.95061135","4.14491081","4.2369051","4.75126362","4.62360859","4.30236721","3.94324946","3.78430986","4.55685711","4.32771444","3.89098358","3.99562383","",
